en	phonetic	cn	example	exampleCn	synonym	root
grocer	/ɡrosɚ/	n. 食品商， 杂货商	The grocer deals in tea, coffee, spices and so forth.	该杂货店经销茶叶、咖啡、佐料等商品。	同义：general store, variety store	同根：grocery 食品杂货店
stare	/stɛr/	n&vi. 盯， 凝视	She sat there staring into space (= looking for a long time at nothing ) .	她坐在那里，出神地凝视前方。	同义：pore, peer at, peer at, gaze at	同根：staring 凝视的，目不转睛的；瞪着眼的；显眼的；staring 凝视；盯着看；显眼（stare的ing形式）
painful	/ˈpenfl/	adj. 疼痛的， 引起疼痛的； 困难的； 令人不快的	stiff painful joints	僵硬疼痛的关节	同义：hurt, bitter, miserable	同根：painless 无痛的；不痛的；pained 悲痛的；受痛苦的；painfully 痛苦地，费力地
vote	/vot/	v. 投票； 表决 n. 票，选票；选举，投票，表决；表决结果，投票总数	In 1918 British women got the right to vote.	1918年，英国妇女获得了选举权。	同义：election, poll, make the offer, propone	同根：voting 投票的；voter 选举人，投票人；有投票权者；voting 投票；选举
steady	/ˈstɛdi/	vi. 稳定 adj. 稳的，平稳的；稳定的，持续的；稳固的	The plane steadied, and the passengers relaxed.	飞机平稳后，乘客们松了一口气。	同义：settled, constant, stable, composed	同根：steadfast 坚定的；不变的；steadily 稳定地；稳固地；有规则地；steadfastly 踏实地；不变地
enhance	/ɪnˈhæns/	vt. 提高， 增加， 加强	Good lighting will enhance any room.	良好的照明能给房间增色不少。	同义：raise, cement, boost, muscle	同根：enhanced 加强的；增大的；enhancive 加强的；增加的；enhancement 增加；放大
enclose	/ɪnˈkloz/	vt. 围住， 圈起； 附上； 把…装入信封	Please enclose a cheque with your order.	请随订单附上支票。	同义：enring, inclose	同根：enclosed 被附上的；与世隔绝的；enclosure 附件；围墙；围场；encloser 外壳；罩壳
convention	/kənˈvɛnʃən/	n. 习俗， 惯例； 公约； 会议	a teachers’ convention	教师大会	同义：tradition, usage, institution, appointment	同根：conventional 符合习俗的，传统的；常见的；惯例的；conventionalized 定型化的；约定俗成的；conventionally 照惯例，照常套
center	/ˈsɛntɚ/	n. 圆心， 正中； 中心	In this example, you rotate a square on its center, but do not fill the square.	在这个例子中，您会以中心为原点旋转一个正方形，但不填充这个正方形。	同义：focus, hub, middle, mediate	同根：cent 分；一分的硬币；森特（等于半音程的百分之一）；centerpiece 中心装饰品；放在餐桌中央的摆饰
suspicion	/səˈspɪʃən/	n. 怀疑， 疑心， 猜疑； 一点儿， 少量	I can’t say for definite who did it, but I certainly have my suspicions .	我不能确切说是谁干的，但我肯定有怀疑的对象。	同义：doubt, challenge, dispute, wonder	同根：suspicious 可疑的；怀疑的；多疑的；suspected 有嫌疑的；suspiciously 怀疑地；猜疑地
purchase	/ˈpɝtʃəs/	vt. 买，购买 n. 购买； 购买的物品	You can purchase insurance online.	你可以在网上买保险。	同义：buy, grip, buy, win	同根：purchasable 可买的；可买到的；purchaser 买方；购买者
refusal	/rɪˈfjuzl/	n. 拒绝	Her country suffered through her refusal to accept change.	她的国家因为她拒绝接受变革而受了害。	同义：rejection, denial	同根：refuse 垃圾；废物；refuse 拒绝；refuse 拒绝；不愿；抵制
technician	/tɛkˈnɪʃən/	n. 技术员， 技师	a laboratory technician	实验室技术人员	同义：lab-technician	同根：tech 技术（technology）；技术员（technician）；technical 工艺的，科技的；技术上的；专门的；technological 技术的；工艺的
generic	/dʒəˈnɛrɪk/	adj. 【生物】 属的， 类的； 一般的， 普通的	Parmesan is a generic term used to describe a family of hard Italian cheeses.	巴尔马干酪是一个用来描述一类坚硬的意大利奶酪的通用名称。	同义：common, prevailing	同根：generalized 广义的，普遍的；无显著特点的；generally 通常；普遍地，一般地；generically 一般地；属类地
genius	/ˈdʒinjəs/	n. 天才， 天赋， 天资； 天才人物	The film reveals Fellini’s genius.	这部影片展现了费里尼的天赋。	同义：energy, gift, spirit, soul	
alike	/əˈlaɪk/	adv. 一样地， 相似地； 同样程度地 adj. 同样的，相同的	The twins were dressed alike.	这对双胞胎穿着相似。	同义：similar, same, uniform, like	
fund	/fʌnd/	n. 资金，基金；存款 vt. 为…提供资金	The fund was set up to try to save the cathedral.	设立基金以挽救大教堂。	同义：capital, deposit, saving, invent money in	同根：funding 提供资金；用发行长期债券的方法来收回短期债券；fundraiser 资金筹集人；资金筹集活动；funding 提供资金；积存（fund的ing形式）
gravity	/ˈɡrævətɪ/	n. 重力， 引力； 严重性； 严肃， 庄重	the force of gravity	重力	同义：weight, seriousness	同根：grave 重大的；严肃的；黯淡的；gravitational [力] 重力的，[力] 引力的；graven 不可磨灭的，铭记在心的；雕刻的
typical	/ˈtɪpɪkl/	adj. 典型的， 代表性的	typical British weather	典型的英国天气	同义：characteristic, representative, proper, very	同根：typic 典型的；正规的；象征性的；typically 代表性地；作为特色地；typicality 典型性
quotation	/kwoˈteʃən/	n. 引文， 引语， 语录； 报价， 牌价， 行情	The following quotation is taken from a nineteenth century travel diary.	下文引自19世纪的一篇旅行日记。	同义：citing, citation	同根：quotable 可引用的；适于引用的；有引用价值的；quote 引用；quotability 引用价值
finance	/ˈfaɪnæns/	v. 筹措资金 n. 财政，金融；财源，财务情况	The concerts are financed by the Arts Council.	音乐会由艺术协会出资举办。	同义：policy of tightening control over expenditure and credit, cameralistics, fund raising	同根：financial 金融的；财政的，财务的；financially 财政上；金融上；financing 融资；财务；筹措资金
studio	/ˈstudɪo/	n. 画室， 摄影室； 播音室， 录音室， 摄影棚	a TV studio	电视演播室	同义：atelier, workroom	
tray	/tre/	n. 盘， 托盘， 碟	The waiter brought drinks on a tray.	服务员用托盘端来饮料。	同义：plateau, salver	
downward	/ˈdaʊnwɚd/	adv. 向下地 adj. 向下的	Benedict pointed downward again with his stick.	贝内迪克特又用他的拐杖向下指了指。	同义：falling, descensive, alow, netherward	同根：down 向下的；down 向下，下去；在下面；downwards 向下，往下
cabbage	/ˈkæbɪdʒ/	n. 洋白菜， 卷心菜	I like peas more than cabbage .	比起卷心菜我更喜欢豌豆。		
regulate	/ˈrɛɡjulet/	vt. 管理， 控制； 调整， 调节	strict rules regulating the use of chemicals in food	限制化学品在食物中使用的严格规定	同义：possess, define, contain, manage	同根：regulation 规定的；平常的；regulatory 管理的；控制的；调整的；regulative 调整的，调节的；管制的
palm	/pɑm/	n. 手掌， 掌状物； 棕榈树	He held the pebble in the palm of his hand .	他把那颗卵石握在手心里。	同义：vola	同根：palmate 手掌状的，[生物] 掌状的；palmy 繁荣的；多棕榈的
hydrogen	/ˈhaɪdrədʒən/	n. 氢	At the South Pole, in a region of continuous darkness, humans could access water to produce hydrogen and oxygen.	月球南极是一个持续黑暗的区域，在这里，人类能够接触到水，以生产氢和氧。		同根：hydrogenated 氢化的，加氢的；hydrogenation 加氢；[化学] 氢化作用；hydrogenated 使氢化（hydrogenate的过去分词）
infant	/ˈɪnfənt/	adj. 婴儿的； 幼稚的 n. 婴儿	infant formula milk	婴(幼)儿配方奶	同义：baby, minor, earlier, young	同根：infantile 婴儿的；幼稚的；初期的；infancy 初期；婴儿期；幼年；infantilism 幼稚症；[医] 幼稚型，[医] 婴儿型
hen	/hɛn/	n. 母鸡， 雌禽	She does not like the hen that pecks all day.	她不喜欢这个整天啄来啄去的母鸡。	同义：female, she	
whoever	/hʊˈɛvɚ/	pron. 谁； 无论谁； 究竟是谁	I’ll take whoever wants to go.	谁想去我就带谁去。		
carbon	/ˈkɑrbən/	n. 碳	They degrade into carbon and oxygen.	他们能被降解成碳和氧。	同义：kryptol	同根：carbonated 碳化的，碳酸的；含二氧化碳的；carbonized 碳化的；carbonous 碳的；含碳的
unload	/ˈʌnˈlod/	v. 卸， 卸货； 下客； 退出子弹； 卸下胶卷	Unload everything from the boat and clean it thoroughly.	从小船上卸下所有的货物并彻底地清洗。	同义：debark, discharge of goods, load off	同根：unloading 卸载；卸货；unloading 卸货（unload的ing形式）
payment	/ˈpemənt/	n. 支付， 支付的款项	You can make a payment in any bank.	你可以在任何一家银行付款。	同义：compensation, punishment, consideration, rod	同根：payoff 支付的；决定性的；产生结果的；payable 应付的；到期的；可付的；可获利的；paying 支付的；赢利的；合算的
specifically	/spəˈsɪfɪkli/	adv. 特别地， 特定地； 明确地， 具体地	advertising that specifically targets children	专门针对儿童的广告	同义：particularly, extra, definitely, positively	同根：specific 特殊的，特定的；明确的；详细的；[药] 具有特效的；specially 特别地；专门地；specific 特性；细节；特效药
controversial	/,kɑntrəˈvɝʃl/	adj. 引起争论的， 有争议的	the controversial issue of welfare reform	福利改革这一有争议的话题	同义：disputed, questioned	同根：controversially 颇有争议地；引起争议地；controversy 争论；论战；辩论；controvert 争论；辩论
trap	/træp/	n. 陷阱，捕捉器；圈套，诡计；困境 vt. 设陷阱捕捉； 诱骗	The only way to catch mice is to set a trap .	抓老鼠的唯一办法就是放置捕鼠器。	同义：ensnare, web, mesh, pit	同根：trapped 捕获的；陷入困境的；收集的；受到限制的；trapping 俘获的；封闭的；trapping 俘获；设陷阱；隔气
gallery	/ˈgæləri/	n. 画廊， 美术馆； 楼座； 旁听席； 回廊， 走廊	an exhibition of African art at the Hayward Gallery	海沃德美术馆的非洲艺术展览	同义：hall, passage, corridor, underground	
hardware	/ˈhɑrdwɛr/	n. 五金器具； 硬件	...a shop from which an uncle had sold hardware and timber.	…一家叔叔曾经在那里卖五金器具和木材的店铺。	同义：brightwork	
deputy	/ˈdɛpjuti/	n. 副职， 副手； 代表， 代理人	...Jack Lang, France's minister for culture, and his deputy, Catherine Tasca.	…法国文化部长杰克·朗和他的副手凯瑟琳·塔斯卡。	同义：agent, representation, factor, secondary	同根：deputation 代表团，代表；委任代理；deputise 担任代表；deputize 代理；代表
warmth	/wɔrmθ/	n. 暖和， 温暖； 热烈， 热情， 热心	She went further into the room, drawn by the warmth of the fire.	她被火的温暖吸引着，走进了房间。	同义：passion, flame, fire	同根：warm 温暖的；热情的；warming 让人感到暖和的；warmly 热情地；温暖地；亲切地
supreme	/suˈprim/	adj. 最高的， 最大的； 极度的， 最重要的	the Supreme Allied Commander in Europe	欧洲盟军最高指挥官	同义：highest, maximum, peak, top	同根：supremely 至上地；崇高地；supremacy 霸权；至高无上；主权；最高地位
ambulance	/ˈæmbjələns/	n. 救护车； 野战医院	the ambulance service	救护车服务	同义：meat wagon	同根：ambulatory 流动的；走动的；非固定的；ambulant 走动的，流动的；可走动的；ambulatory [建] 回廊
priority	/praɪˈɔrəti/	n. 优先， 重点； 优先考虑的事	I want to start work on the garden but the house must take priority .	我想开始整修花园，不过还是先得打扫屋子。	同义：precedence, preference to sth	同根：prior 优先的；在先的，在前的；prior 在前，居先；prioritize 把事情按优先顺序排好
