en	phonetic	cn	example	exampleCn	synonym	root
monitor	/ˈmɔnɪtɚ/	n. 班长；监视器，检测器；显示器 vt.  监听， 检测	a heart monitor	心脏监测仪	同义：detectophone	同根：monitory  训戒的；monitory  告诫书
solo	/ˈsolo/	adv. 以独力，单独地 adj. 单独的，单独进行的 n.  独奏， 独唱， 独舞	Brokaw solos brilliantly on this album.	布罗考在这张专辑中的独唱非常出色。	同义：alone, solely	同根：soloist  独奏者；独唱者；solitariness  隐居；单独
tuition	/tʊˈɪʃən/	n.  教学， 讲授， 指导； 学费	I had to have extra tuition in maths.	我不得不上数学补习课。	同义：schooling	
permeate	/ˈpɝmɪet/	v.  弥漫， 遍布， 散布； 渗入， 渗透	The smell of diesel oil permeated the air.	空气里充斥着柴油的气味。	同义：filter, smoke	同根：permeable  能透过的；有渗透性的；permeant  浸透的；渗透的；permeability  渗透性；透磁率，导磁系数；弥漫
utopian		adj.  乌托邦的； 理想的	His was a utopian vision of nature in its purest form.	他对大自然的看法是一种最纯粹的乌托邦式看法。	同义：romantic, daydreamer	同根：utopianism  空想的社会改良方案；乌托邦思想
schedule	/ˈskedʒʊl; skɛdʒʊl/	n. 时刻表，日程安排表；清单，明细表 vt.  安排， 排定	How can he fit everything into his busy schedule ?	他是怎么把所有的事情都排进自己忙碌的时间表的？	同义：budget, kalendar	同根：scheduled  预定的；已排程的；scheduling  时序安排，行程安排；scheduler  调度程序；制表人，计划员；程序机
tame	/teɪm/	adj. 驯服的，顺从的；沉闷的，乏味的 vt.  制服， 控制并利用； 驯化， 驯服	Most of the criticism has been pretty tame.	评论的大部分内容很乏味。	同义：stupid, domesticate	同根：tamable  可驯服的；tameable  可驯服的（等于tamable）；tamely  驯服地，温顺地；没骨气地
adjoin	/əˈdʒɔɪn/	vt.  贴近； 与…毗连	A vacant plot of land adjoins his house.	有一块空地紧挨着他家。	同义：abut upon, abut upon	同根：adjoining  邻接的；毗连的；adjoining  邻接（adjoin的ing形式）
universe	/ˈjunɪvɝs/	n.  宇宙， 世界； 领域， 范围	Einstein's equations showed the universe to be expanding.	爱因斯坦的方程式表明宇宙正在扩大。	同义：world	同根：universal  普遍的；通用的；宇宙的；全世界的；全体的；universal  一般概念；普通性
inherit	/ɪnˈhɛrɪt/	vt.  继承	inherited wealth	继承的财富	同义：succeed to	同根：inherent  固有的；内在的；与生俱来的，遗传的；inherited  遗传的；继承权的；通过继承得到的；inheritable  可继承的；会遗传的
overwhelming	/,ovɚˈwɛlmɪŋ/	adj.  势不可挡的， 压倒的； 巨大的	There is overwhelming evidence that smoking damages your health.	有难以辩驳的证据表明吸烟有损健康。	同义：inundatory, drowning	同根：overwhelmingly  压倒性地；不可抵抗地；overwhelm  压倒；淹没；受打击
interpret	/ɪnˈtɝprɪt/	v.  解释， 说明； 口译	They spoke good Spanish, and promised to interpret for me.	他们西班牙语说得很好，答应替我翻译。	同义：say, account	同根：interpretive  解释的；作为说明的；interpretative  解释的；作为说明的；interpretable  可说明的；可判断的；可翻译的
peculiar	/pɪˈkjulɪɚ/	adj.  奇怪的， 古怪的； 特有的	There was a peculiar smell in the kitchen.	厨房里有一股怪味。	同义：specific, franchise	同根：peculiarly  特别；尤其；古怪地；奇怪地；peculiarity  特性；特质；怪癖；奇特
idiom	/ˈɪdɪəm/	n.  习语， 成语； 风格， 特色	the new musical idiom	新的音乐风格	同义：phrase	
diplomat	/ˈdɪpləmæt/	n.  外交官， 外交家； 有交际手腕的人， 圆滑的人	French diplomats	法国外交官		同根：diplomatic  外交的；外交上的；老练的；diplomatically  在外交上；靠外交途径；圆滑地；婉转地；diplomacy  外交；外交手腕；交际手段
hug	/hʌɡ/	vi. 紧抱在一起，互相拥抱 vt. 拥抱；紧抱，怀抱 n.  紧抱， 热烈拥抱	We stood there crying and hugging each other.	我们站在那里哭着互相拥抱。	同义：press, embrace, embrace	同根：hugging  （衣服）紧身的；显出体型的；hugger  劈理；极端派；拥抱者；hugging  拥抱；紧紧搂抱（hug的现在分词）
grant	/ɡrænt/	n. 授给物 vt.  授予， 给予	Britain could grant Spain’s request .	英国可能会同意西班牙的请求。	同义：award, accept, appropriation	同根：grantee  受让人；被授与者；grantor  授予者；[法] 让与人；granter  出让方；出让人；授与者；转让者
muscular	/ˈmʌskjəlɚ/	adj.  肌肉发达的， 强壮的； 肌肉的	She was fast and strong, with a slender, muscular body.	她动作敏捷，身体强壮，身材苗条，肌肉结实。	同义：robust	同根：muscle  肌肉；力量；musculature  肌肉组织；[解剖] 肌肉系统；muscularity  力大；肌肉发达；强壮
sparkle	/ˈspɑrkl/	vi. 发光，闪耀，闪烁；活跃，焕发 n.  闪光， 闪耀， 闪烁； 活力， 生气	The sea sparkled in the sun.	阳光下大海碧波闪耀。	同义：energy, fire, shine on	同根：sparkling  闪闪发光的，闪烁的；起泡沫的；sparkly  耀眼的；sparker  电火花器；点火线圈；[海洋] 电火花震源；火花捕捉器
hum	/hʌm/	vi. 哼曲子；发嗡嗡声 vt. 哼 n.  嗡嗡声， 营营声， 嘈杂声	He began to hum a tune.	他开始哼唱一支曲子。	同义：groaning, uh-uh	同根：humming  发嗡嗡声的；精力旺盛的；humming  哼唱；hummer  蜂鸟；蜂鸣器，发嗡嗡声的东西
staple	/ˈstepl/	adj.  主要的； 经常需要的 n. 订书钉，U形钉；主食；主要产品 vt. 用订书钉订	Oil is Nigeria’s staple export.	石油是尼日利亚的主要出口产品。	同义：topic, primary, pin up	同根：stapler  [轻] 订书机；主要商品批发商；把羊毛分级的人
discount	/dɪsˈkaʊnt/	n.  折扣 vt.  把…打折扣； 不全信； 漠视， 低估	They are often available at a discount.	它们经常可以以折扣价买到。	同义：agio, water sth. down	同根：discounter  折扣商店；廉价商店
construct	/kənˈstrʌkt/	vt.  建造； 构思 n.  建筑物； 构想； 观念	There are plans to construct a new road bridge across the river.	有计划要建造一条新的跨河公路桥。	同义：found, concept	同根：constructive  建设性的；推定的；构造上的；有助益的；constructible  [数] 可构成的；constructively  建设性地
royalty	/ˈrɔɪəlti/	n.  王族； 版税	the royalties from his latest book	他新书的版税	同义：crown	
convert	/kənˈvɝt/	vt.  转变， 转化； 改变	a 19th-century converted barn	由19世纪谷仓改建的房子	同义：transform, idolater	同根：convertible  可改变的；同意义的；可交换的；converted  修改的；改变信仰的；conversion  转换；变换；[金融] 兑换；改变信仰
attempt	/əˈtɛmpt/	vt.  尝试， 试图， 努力	Weather conditions prevented them from attempting the jump.	天气状况使他们无法尝试跳伞。	同义：essay, undertake	
rivalry	/ˈraɪvlri/	n.  竞争， 竞赛； 对抗	The two players have developed a friendly rivalry .	这两名选手之间已形成一种友好的竞争关系。	同义：competition	同根：rival  竞争的；rivalrous  敌对性的；有竞争性的；rival  对手；竞争者
relish	/ˈrɛlɪʃ/	vt. 享受，从…中获得乐趣 n.  享受， 滋味， 乐趣； 调味品	a hot dog with mustard and relish	配芥末酱和调味汁的热狗	同义：flavor, enjoy	
fluorescent	/,flɔˈrɛsnt/	adj.  荧光的， 发荧光的	a fluorescent pink T-shirt	发亮的粉红色 T 恤衫	同义：flourescent, daylight lamp	同根：fluorescence  荧光；荧光性；fluorescein  [试剂] 荧光素，[试剂] 荧光黄；fluoroscopy  [特医] 荧光镜检查；X线透视检查
division	/dəˈvɪʒən/	n.  分， 分割； 部门， 科， 处； 除法	the traditional division of labour (= the way that particular tasks are shared ) between husband and wife	夫妻之间传统的分工	同义：ministry	同根：divided  分裂的；分开的；有分歧的；divisive  分裂的；区分的；造成不和的；divisible  可分的；可分割的
superficial	/,supɚˈfɪʃl/	adj.  表面的， 肤浅的	They only have the most superficial understanding of prison life.	他们对监狱生活只有最粗浅的了解。	同义：surface, person	同根：superficially  表面地；浅薄地；superficiality  浅薄，肤浅；表面性的事物；superficies  外表，表面；面积
executive	/ɪɡˈzɛkjətɪv/	adj. 执行的；行政的 n.  执行者	a commission with executive powers	有执行权的委员会	同义：administrative, manager	同根：exec  实行（execute）；实行的（executive）；executed  已执行的；已生效的；executable  可执行的；可实行的
navigation	/ˈnævəˈgeʃən/	n.  航行， 航海， 航空； 导航， 领航	compasses and other instruments of navigation	罗盘及其他导航仪器	同义：salling	同根：navigational  航行的，航运的；navigable  可航行的；可驾驶的；适于航行的；navigator  航海家；领航员；驾驶员
melt	/mɛlt/	v.  融化； 溶化； 消散	It was warmer now, and the snow was beginning to melt.	现在天气暖和了，雪开始融化。	同义：flux, oil, fusion	同根：melting  融化的；溶解的；动人的；感伤的；melted  融化的；溶解的；meltable  可熔的；易溶化的
stalk	/stɔk/	vi.  高视阔步地走 n. 茎，梗，柄 vt. 悄悄地跟踪	celery stalks	芹菜茎	同义：stem, trail, move in on	同根：stalked  有茎的；长于茎上的；stalker  高视阔步者；stalked  蔓延（stalk的过去分词）
whereas	/ˈwɛrˈæz/	conj.  然而， 但是， 尽管	The old system was fairly complicated whereas the new system is really very simple.	旧系统相当复杂，而新系统却很简单。	同义：however	
pitch	/pɪtʃ/	v.  投掷， 使猛然倒下； 表达， 定下特定程度； 定调； 架设， 搭， 扎； 颠簸 n. 球场；程度，强度；高度，高音；沥青	She crumpled up the page and pitched it into the fire.	她把那页纸揉成团，扔进了火里。	同义：slope, throw, extent	同根：pitched  斜的；人字形的；pitching  倾斜的；陡的；pitchy  漆黑的；沥青的；粘性的
casualty	/ˈkæʒuəlti/	n.  伤亡人员， 死伤者； 受害人， 损失的东西	Our aim is to reduce road casualties .	我们的目标是减少交通事故的伤亡人数。	同义：contretemps	
gauge	/gedʒ/	n. 测量仪表；厚度，直径；规格、尺寸 vt.  估计， 判断； 计量， 度量	a 12-gauge shotgun	12号口径的猎枪	同义：batcher, sound	
oriental	/ˌɔrɪˈɛntl/	adj.  东方的； 东方人的； 东方文化的	a beautiful oriental rug	漂亮的东方地毯	同义：eastern, eastern	同根：oriented  导向的；定向的；以…为方向的；orient  东方的；orientation  方向；定向；适应；情况介绍；向东方
electrical	/ɪˈlɛktrɪkl/	adj.  电的； 电气科学的	The fire was caused by an electrical fault.	大火是电力故障引起的。		同根：electric  电的；电动的；发电的；导电的；令人震惊的；electrically  电力地；有关电地；electric  电；电气车辆；带电体
stall	/stɔl/	v.  熄火； 拖延， 推迟 n. 货摊；	Quit stalling and answer my question!	别拖延时间，快回答我的问题！	同义：booth, desist from, prolong	同根：stalemate  僵局；陷于困境；stalemate  僵持；陷入僵局；stalemate  使僵持；使陷入困境
protest	/prəˈtɛst;protɛst/	v. ['prəutest] n.  抗议， 反对	‘I don’t see why I should take the blame for this!’ she protested.	“我不明白为什么我要对此承担责任！”她抗议道。	同义：exclaim at, declare, obtestation	同根：protestant  抗议的；持异议的；protestingly  抗议地；protestant  抗议者；持异议者
sensitive	/ˈsɛnsətɪv/	adj.  敏感的， 灵敏的； 神经过敏的， 容易生气的； 易受伤害的	a very sensitive child	一个很敏感的小孩	同义：vulnerable	同根：sensible  明智的；明显的；意识到的；通晓事理的；sensing  敏感的；sensitively  敏感地；易感知地
